subj	trial	chimera	identity	orientation	rt	acc	group
2	114	R_R	other	upright	583.9	1	cg
2	115	R_L	self	upright	503.3	1	cg
2	116	R_L	other	upright	514	1	cg
2	117	L_L	self	upright	563.7	1	cg
2	118	L_R	self	upright	503.4	1	cg
2	119	R_L	other	upright	443.2	0	cg
2	120	L_R	self	upright	533.7	1	cg
2	121	R_L	self	upright	573.9	1	cg
2	122	L_R	other	upright	593.8	1	cg
2	123	R_L	self	upright	604.1	1	cg
2	124	R_L	self	upright	523.4	1	cg
2	125	L_R	self	upright	654.8	1	cg
2	126	R_L	other	upright	523.6	1	cg
2	127	L_L	self	upright	463.2	1	cg
2	128	L_R	other	upright	593.8	1	cg
2	129	R_R	self	upright	433.1	1	cg
2	130	R_R	self	upright	523.5	1	cg
2	131	R_L	other	upright	493.4	1	cg
2	132	L_L	other	upright	654.2	1	cg
2	133	L_R	other	upright	503.6	1	cg
2	134	L_L	other	upright	433.1	0	cg
2	135	L_L	other	upright	463.6	1	cg
2	136	R_R	self	upright	543.6	1	cg
2	137	R_R	other	upright	483.3	1	cg
2	138	R_L	self	upright	523.5	1	cg
2	139	L_L	other	upright	372.7	1	cg
2	140	R_R	other	upright	413	1	cg
2	141	L_L	self	upright	754.6	1	cg
2	142	R_R	other	upright	644.4	1	cg
2	143	R_R	self	upright	533.6	1	cg
2	144	L_L	self	upright	423.2	1	cg
2	145	R_R	other	upright	402.8	1	cg
2	146	R_L	other	upright	553.7	1	cg
2	147	R_L	other	upright	533.5	1	cg
2	148	L_R	other	upright	473.3	1	cg
2	149	L_L	self	upright	493.3	1	cg
2	150	R_L	self	upright	603.8	1	cg
2	151	L_L	other	upright	433.1	1	cg
2	152	L_R	other	upright	382.8	1	cg
2	153	L_L	other	upright	573.8	1	cg
2	154	R_R	self	upright	513.7	1	cg
2	155	L_L	other	upright	483.3	1	cg
2	156	R_L	other	upright	443.3	1	cg
2	157	R_R	other	upright	463.5	1	cg
2	158	L_R	self	upright	583.8	1	cg
2	159	R_R	self	upright	493.5	1	cg
2	160	R_R	self	upright	553.8	1	cg
6	1	R_R	other	upright	835.2	0	cg
6	2	R_R	other	upright	985.9	1	cg
6	3	L_L	other	upright	875.3	1	cg
6	4	R_L	other	upright	785.1	1	cg
6	5	R_L	other	upright	935.6	1	cg
6	6	R_R	self	upright	794.8	1	cg
6	7	R_L	other	upright	815.4	1	cg
6	8	L_R	self	upright	765	1	cg
6	9	R_L	other	upright	604.1	1	cg
6	10	L_L	self	upright	604.2	1	cg
6	11	L_R	other	upright	955.9	1	cg
6	12	L_R	self	upright	784.9	1	cg
